---Action(ResourceType,ResourceKey,CultureCode,ResourceValue)   Action can either be InsertUpdate or Delete
---If you need to comment out a line begin the line with at least two dashes "--"
---InsertUpdate|ResourceType|ResourceKey|CultureCode|ResourceValue
-- Delete|ResourceType|ResourceKey

--Database date in CSV headers
InsertUpdate|Common|DatabaseDate|en-GB|E-PRTR database version
InsertUpdate|Common|DatabaseDateReview|en-GB|E-PRTR REVIEW database version


--LOV_METODTYPE
InsertUpdate|LOV_METHODTYPE|CEN/ISO|en-GB|Internationally approved measurement standard
InsertUpdate|LOV_METHODTYPE|ETS|en-GB|Guidelines for the monitoring and reporting of greenhouse gas emissions under the Emission Trading Scheme.
InsertUpdate|LOV_METHODTYPE|IPCC|en-GB|IPCC Guidelines
InsertUpdate|LOV_METHODTYPE|UNECE/EMEP|en-GB|UNECE/EMEP EMEP/CORINAIR Emission Inventory Guidebook
InsertUpdate|LOV_METHODTYPE|PER|en-GB|Measurement/Calculation Methodology already prescribed by the competent authority in a licence or an operating permit for that facility
InsertUpdate|LOV_METHODTYPE|NRB|en-GB|National or regional binding measurement/calculation methodology prescribed by legal act for the pollutant and facility concerned.
InsertUpdate|LOV_METHODTYPE|ALT|en-GB|Alternative measurement methodology in accordance with existing CEN/ISO measurement standards
InsertUpdate|LOV_METHODTYPE|CRM|en-GB|Measurement methodology for the performance of which is demonstrated by means of certified reference materials and accepted by competent authority.
InsertUpdate|LOV_METHODTYPE|MAB|en-GB|Mass balance method which is accepted by the competent authority
InsertUpdate|LOV_METHODTYPE|SSC|en-GB|European-wide sector specific calculation method
InsertUpdate|LOV_METHODTYPE|WEIGH|en-GB|Weighing
InsertUpdate|LOV_METHODTYPE|OTH|en-GB|Other measurement/calculation methodology


--method info in CSV
InsertUpdate|Common|MethodBasisCode|en-GB|Method Basis Code
InsertUpdate|Common|MethodBasisName|en-GB|Method Basis Name
InsertUpdate|Common|MethodTypeCode|en-GB|Method Type Code
InsertUpdate|Common|MethodTypeName|en-GB|Method Type Name
InsertUpdate|Common|MethodTypeName|en-GB|Method Designation

--National ID in facility details
InsertUpdate|Facility|InYear|en-GB|(in {0})

--new CSV downloads
InsertUpdate|Common|NUTSRegion|en-GB|NUTS Region